Number,Country,Name,Financing,Status,Approval
CO-L1203,Colombia,"Support Corporacion Accion for Quindio","500,000",Closed,"Oct. 16, 1992"
SP9007271,Colombia,"Fundacion Mundo Mujer (popayan)","103,000",Closed,"Sep. 9, 1991"
SP9007312,Colombia,"Inst. Strengt. to Corp. Mundial Mujer","103,000",Closed,"Sep. 9, 1991"
CO-L1196,Colombia,"Instit. Strengthening to Fundacion Wwb","500,000",Closed,"Sep. 9, 1991"
CO-L1200,Colombia,"Institutional Strengthening of Actuar","500,000",Closed,"Sep. 9, 1991"
SP9007289,Colombia,"Corp. Mundial de la Mujer (medellin)","103,000",Closed,"Sep. 9, 1991"
CO-L1197,Colombia,"Fund. Mundial Mujer (bucaramanga)","500,000",Closed,"Sep. 9, 1991"
SP9007297,Colombia,"Instit. Strengthening to Fundacion Wwb","103,000",Closed,"Sep. 9, 1991"
SP9103194,Colombia,"Institutional Strengthening of Actuar","103,000",Closed,"Sep. 9, 1991"
CO-L1194,Colombia,"Fundacion Mundo Mujer (popayan)","500,000",Closed,"Sep. 9, 1991"
CO-L1198,Colombia,"Inst. Strengt. to Corp. Mundial Mujer","500,000",Closed,"Sep. 9, 1991"
SP9007304,Colombia,"Fund. Mundial Mujer (bucaramanga)","103,000",Closed,"Sep. 9, 1991"
CO-L1195,Colombia,"Corp. Mundial de la Mujer (medellin)","500,000",Closed,"Sep. 9, 1991"
SP9102013,Colombia,"Small-Scale Fishing in Baru Islands","160,000",Closed,"Jun. 4, 1991"
CO-L1199,Colombia,"Small-Scale Fishing in Baru Islands","500,000",Closed,"Jun. 4, 1991"
CO-L1193,Colombia,"Promotora de Comercio Social","500,000",Closed,"Sep. 5, 1990"
SP9002362,Colombia,"Promotora de Comercio Social","91,000",Closed,"Sep. 5, 1990"
SP8904270,Colombia,"Credit and Marketing of Beans","625,000",Closed,"Dec. 20, 1989"
CO-L1192,Colombia,"Inst. Strengt. in Marketing","350,000",Closed,"Nov. 9, 1989"
SP8905434,Colombia,"Inst. Strengt. in Marketing","129,000",Closed,"Nov. 9, 1989"
SP8802010,Colombia,"Rural Development in the Cauca Valley","72,000",Closed,"Oct. 20, 1988"
CO-L1191,Colombia,"Rural Development in the Cauca Valley","500,000",Closed,"Oct. 20, 1988"
CO-L1190,Colombia,"Institutional Strengthening of Fundejur","500,000",Closed,"May. 6, 1988"
SP8701155,Colombia,"Institutional Strengthening of Fundejur","75,000",Closed,"May. 6, 1988"
SP8507488,Colombia,"Small Project Increase","325,000",Closed,"Dec. 19, 1985"
SP8507206,Colombia,"Support to Fundación de la Guajira","275,000",Closed,"Nov. 14, 1985"
SP8412140,Colombia,"Support to Antioquia Microenterprise","375,000",Closed,"Dec. 19, 1984"
SP8410136,Colombia,"Support to Fundación Carvajal","375,000",Closed,"Dec. 19, 1984"
SP8412124,Colombia,"Support Fundación Nacional Projuventud Trabajador","375,000",Closed,"Dec. 19, 1984"
SP8412132,Colombia,"Support Fundación Empresa Privada Compartir","375,000",Closed,"Dec. 19, 1984"
SP8310211,Colombia,"Fundelpa Institutional Strenghthening","161,000",Closed,"Jun. 6, 1984"
CO-L1189,Colombia,"Fundelpa Institutional Strenghthening","500,000",Closed,"Jun. 6, 1984"
SP8301012,Colombia,"Suport Corporación el Minuto de Dios","700,000",Closed,"Oct. 26, 1983"
