MPIO_CDPMP,north,south,east,west
05697,0.23403839253660996,0,0,0.2507087820354206
05690,0.27163153541900276,0,0,0.23805145855571333
05686,0.2921523325921905,0,0,0.2722069877524237
05679,0.20820356550126676,0,0,0.2889830244909279
05306,0.29081099849490893,0,0,0.33113599096964275
05282,0.20912201945752246,0,0,0.30007287446891345
05266,0.23721847917179884,0,0,0.2847721620988041
05264,0.28360074158389686,0,0,0.28618938973349906
05250,0.40053876471968947,0,0,0.18277207644655707
05240,0.2553442427138452,0,0,0.3120977491733828
05237,0.27419868214413134,0,0,0.2639654379532427
05212,0.2580241767162629,0,0,0.2794431080413982
05209,0.22700713270756775,0,0,0.32560025488749617
05206,0.2605761424007103,0,0,0.24674895403733532
05197,0.22154194854383097,0,0,0.24008004834221644
05190,0.2789030480121855,0,0,0.23111040783945289
05172,0.39285149123860447,0,0,0.4110629765905884
05154,0.4177435899696888,0,0,0.22561823245598236
05150,0.3004744460701858,0,0,0.2569245166512554
05148,0.2186432767941031,0,0,0.2520278084898461
05147,0.4094444367076212,0,0,0.41303224466999994
05145,0.1741001958773516,0,0,0.29447454493343844
05142,0.25655883828169807,0,0,0.1907776446996415
05138,0.30680909548955115,0,0,0.34024856943906673
05134,0.33009893220419095,0,0,0.25481598829901575
05129,0.2266887769535351,0,0,0.2939667093226593
05125,0.2655653314519959,0,0,0.3363907220735654
05674,0.2536525679875158,0,0,0.2594086820914431
05670,0.26822140835400604,0,0,0.21369620308275572
05667,0.2536901794050384,0,0,0.22140785539578672
05665,0.471600986286434,0,0,0.37373422039666926
05664,0.26927399321925605,0,0,0.2865768999622872
05660,0.22248208049813542,0,0,0.21718022437243575
05659,0.5061547316104029,0,0,0.39867862983573876
05658,0.3076844513243829,0,0,0.2998932621660935
05656,0.26712841070261695,0,0,0.30282859979294685
05652,0.20825841807970336,0,0,0.21880132654933793
05649,0.24136878257062216,0,0,0.2108611660275694
05647,0.31771059756468956,0,0,0.29851423963646934
05642,0.21784507867979888,0,0,0.334987429330295
05628,0.3158746619590082,0,0,0.3131281374918817
05615,0.23683825274914197,0,0,0.26904238457020113
05607,0.22658315269774176,0,0,0.28117452952253147
05604,0.32601654217791864,0,0,0.1705655947764772
05591,0.21619398723451166,0,0,0.18530471680954205
05585,0.23428382459781347,0,0,0.18726770439680657
05579,0.27172404849938203,0,0,0.16710841608100369
05576,0.2009044721500662,0,0,0.3210491349318617
05543,0.33095887408043706,0,0,0.3243915941498025
05541,0.24543606572382443,0,0,0.24740192356405308
05501,0.2853666555089174,0,0,0.31121471213503693
05495,0.4306519028817979,0,0,0.1975815740821773
05490,0.4836713015873374,0,0,0.41537991219020287
05483,0.17683934235487234,0,0,0.24405748795477655
05480,0.3610239152135953,0,0,0.390656218733028
05467,0.21219312423334186,0,0,0.2816355204727554
05440,0.24046438976836704,0,0,0.2568058030867
05425,0.2772709554570022,0,0,0.18853102637227978
05411,0.29722639907557863,0,0,0.31206177363660836
05400,0.2146774001795491,0,0,0.26251617009041534
05390,0.19425489258372636,0,0,0.2911670874333823
05376,0.22016518793731896,0,0,0.27136634080301114
05368,0.19670290604953436,0,0,0.3099679062147883
05364,0.17611968754692214,0,0,0.31615583833203714
05360,0.23984010581999113,0,0,0.29255410456268827
05353,0.19957041830756792,0,0,0.32635668218014635
05347,0.24355189452534268,0,0,0.3082144316530828
05321,0.24684559185211796,0,0,0.23989108040696341
05318,0.24904218510075604,0,0,0.272110450256947
05315,0.3117212566568229,0,0,0.24767974817643498
05313,0.23395107978571117,0,0,0.23632202594736496
05310,0.29570637439714087,0,0,0.24384168903999978
05308,0.2609595919486327,0,0,0.2733411944236248
05234,0.32548729805083426,0,0,0.37345927600593515
05284,0.2937891768502488,0,0,0.3755086926283604
05361,0.3582203385326545,0,0,0.3198454136007692
05847,0.2562814956331915,0,0,0.3670800457476709
05475,0.3082654600466647,0,0,0.4190339267338972
05873,0.26871405158041334,0,0,0.41746617876741016
05045,0.42071393871475304,0,0,0.4026623194533455
27615,0.3673797939106409,0,0,0.4805237127472847
27001,0.21452130053441681,0,0,0.41384082945628736
27006,0.4773994240331222,0,0,0.48618706557386826
27025,0.18268274678639831,0,0,0.462441855690911
27050,0.17466539556472183,0,0,0.4071883573579282
27073,0.16860552177698807,0,0,0.36001927186781135
27075,0.25152062050034574,0,0,0.49360068541448926
27077,0.11684848188555651,0,0,0.4778652738288249
27099,0.27095968155742073,0,0,0.4641886636445132
27135,0.15349199520540013,0,0,0.4264237254503669
27150,0.32984914991128805,0,0,0.44973097441447835
27160,0.1566700627611723,0,0,0.3975414339728979
27205,0.12336709429931268,0,0,0.398103555881018
27245,0.20103473998530483,0,0,0.3593172317642229
27250,0.03628814062625889,0,0,0.4483870530382891
27361,0.08819267453704245,0,0,0.4375878856230226
27372,0.33719135647449294,0,0,0.5312656352696769
27413,0.1772424039567676,0,0,0.38168561507839294
27425,0.22452203519177188,0,0,0.41497239499494415
27430,0.1272310009068094,0,0,0.4522388892451513
27450,0.09613723532422737,0,0,0.43006767820049746
27491,0.10015501709740461,0,0,0.4085891715395362
