"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
5660,647,5232,18,34,167,6098,4585,0.857986224991801,0.106100360774024,0.751885864217776
5664,1229,9877,20,153,567,11846,8648,0.833783555630593,0.103748100624683,0.730035455005909
5665,2241,8110,21,76,228,10676,5869,0.759647808167853,0.209910078681154,0.549737729486699
5667,834,5056,21,93,234,6238,4222,0.810516191086887,0.133696697659506,0.676819493427381
5670,693,6070,48,104,218,7133,5377,0.850974344595542,0.0971540726202159,0.753820271975326
5674,1166,8551,27,123,297,10164,7385,0.841302636757182,0.114718614718615,0.726584022038568
5679,1743,8160,28,216,515,10662,6417,0.765334833989871,0.163477771525042,0.601857062464828
5686,1694,12619,66,323,756,15458,10925,0.816341053176349,0.109587268728167,0.706753784448182
5690,532,3890,35,80,159,4696,3358,0.828364565587734,0.113287904599659,0.715076660988075
5697,1790,15702,41,121,526,18180,13912,0.863696369636964,0.0984598459845985,0.765236523652365
5736,3969,2715,24,243,651,7602,-1254,0.357142857142857,0.522099447513812,-0.164956590370955
5756,1063,13493,31,160,412,15159,12430,0.890098291444027,0.0701233590606241,0.819974932383403
5761,1055,4611,13,109,281,6069,3556,0.75976272862086,0.173834239578184,0.585928489042676
5789,1190,6061,23,107,335,7716,4871,0.785510627268014,0.154224987039917,0.631285640228097
5790,2351,2698,28,150,253,5480,347,0.492335766423358,0.429014598540146,0.0633211678832117
5792,527,1887,11,21,64,2510,1360,0.751792828685259,0.20996015936255,0.541832669322709
5809,448,2941,13,76,172,3650,2493,0.805753424657534,0.122739726027397,0.683013698630137
5819,276,1288,27,64,135,1790,1012,0.719553072625698,0.154189944134078,0.56536312849162
5837,17102,17842,82,508,1014,36548,740,0.488179927766225,0.467932581810222,0.0202473459560031
5842,254,2380,20,52,78,2784,2126,0.854885057471264,0.0912356321839081,0.763649425287356
5847,1147,7131,50,111,374,8813,5984,0.809145580392602,0.130148644048565,0.678996936344037
5854,757,2054,35,68,129,3043,1297,0.674991784423266,0.248767663489977,0.426224120933289
5856,522,2049,13,58,133,2775,1527,0.738378378378378,0.188108108108108,0.55027027027027
5858,345,3572,20,55,119,4111,3227,0.868888348333739,0.0839211870591097,0.784967161274629
5861,652,4221,9,56,169,5107,3569,0.826512629723908,0.127667906794596,0.698844722929313
