id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,codigo_partido_old
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,886,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,,998,VOTOS NULOS,,,1422,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,,999,VOTOS EN BLANCO,,,223,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,686,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,76,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,104,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,1277,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,,998,VOTOS NULOS,,,994,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Departamental,,999,VOTOS EN BLANCO,,,32,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5059,5059,ARMENIA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,591,1,1
