"FID_15t6","Pe_15t6","Du_15t6","vt_15t6","MV18_15t6","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16"
550,70305,75641,151675,0.03518,0.266251113089938,0,0.0591077471059662,0.0886616206589492,0,0,0,0
551,9183,11874,21677,0.12414,0.33659839715049,0,0.0747248441674087,0.112087266251113,0,0,0,0
552,4660,2750,7636,-0.25013,0.127337488869101,0,0.0282689225289403,0.0424033837934105,0,0,0,0
553,3032,6443,9705,0.35147,0.505788067675868,0,0.112284951024043,0.168427426536064,0,0,0,0
554,4129,3156,7480,-0.13008,0.177203918076581,0,0.0393392698130009,0.0590089047195013,0,0,0,0
555,3263,5839,9550,0.26974,0.439893143365984,0,0.0976562778272484,0.146484416740873,0,0,0,0
556,10649,27469,39873,0.42184,0.577025823686554,0,0.128099732858415,0.192149599287622,0,0,0,0
557,6765,3524,10530,-0.30779,0.0988423864648264,0,0.0219430097951915,0.0329145146927872,0,0,0,0
558,1922,2467,4495,0.12125,0.335707925200356,0,0.0745271593944791,0.111790739091719,0,0,0,0
559,1732,1984,3812,0.06611,0.292074799643811,0,0.0648406055209261,0.0972609082813891,0,0,0,0
560,8865,5045,14285,-0.26741,0.117542297417631,0,0.0260943900267142,0.0391415850400712,0,0,0,0
561,4232,2139,6513,-0.32136,0.0952804986642921,0,0.0211522707034728,0.0317284060552093,0,0,0,0
562,1068,959,2066,-0.05276,0.220837043633126,0,0.0490258236865539,0.0735387355298308,0,0,0,0
563,2959,1951,5022,-0.20072,0.147818343722173,0,0.0328156723063224,0.0492235084594835,0,0,0,0
564,4399,5185,9851,0.07979,0.29919857524488,0,0.0664220837043633,0.099633125556545,0,0,0,0
565,26943,23368,52118,-0.06859,0.21193232413179,0,0.0470489759572573,0.070573463935886,0,0,0,0
566,5206,2800,8205,-0.29324,0.105075690115761,0,0.023326803205699,0.0349902048085485,0,0,0,0
567,4140,3829,8146,-0.03818,0.227070347284061,0,0.0504096170970614,0.0756144256455922,0,0,0,0
568,5857,11368,17631,0.31257,0.47373107747106,0,0.105168299198575,0.157752448797863,0,0,0,0
569,6336,13228,20283,0.33979,0.496883348174533,0,0.110308103294746,0.165462154942119,0,0,0,0
570,17985,22360,41511,0.10539,0.321460373998219,0,0.0713642030276046,0.107046304541407,0,0,0,0
571,5138,6276,11785,0.09656,0.317008014247551,0,0.0703757791629564,0.105563668744435,0,0,0,0
572,945,2591,3578,0.46003,0.612644701691897,0,0.136007123775601,0.204010685663402,0,0,0,0
573,3428,1705,5228,-0.32957,0.0899376669634906,0,0.0199661620658949,0.0299492430988424,0,0,0,0
574,3717,6561,10546,0.26968,0.43900267141585,0,0.0974585930543188,0.146187889581478,0,0,0,0
575,944,2382,3364,0.42747,0.586821015138023,0,0.130274265360641,0.195411398040962,0,0,0,0
576,2263,3513,5863,0.2132,0.391807658058771,0,0.0869813000890472,0.130471950133571,0,0,0,0
577,1655,2782,4496,0.25067,0.425645592163847,0,0.094493321460374,0.141739982190561,0,0,0,0
578,2852,3304,6278,0.072,0.295636687444346,0,0.0656313446126447,0.0984470169189671,0,0,0,0
579,3779,2191,6134,-0.25888,0.123775601068566,0,0.0274781834372217,0.0412172751558326,0,0,0,0
580,2622,5984,8759,0.38383,0.542297417631345,0,0.120390026714159,0.180585040071238,0,0,0,0
581,1900,5327,7344,0.46664,0.6233303650935,0,0.138379341050757,0.207569011576135,0,0,0,0
582,1353,3048,4465,0.37962,0.53873552983081,0,0.11959928762244,0.17939893143366,0,0,0,0
583,7535,5174,13009,-0.18149,0.156723063223508,0,0.0347925200356189,0.0521887800534283,0,0,0,0
584,8174,9385,17887,0.0677,0.293855743544078,0,0.0652359750667854,0.0978539626001781,0,0,0,0
585,3068,4831,8066,0.21857,0.397150489759573,0,0.0881674087266251,0.132251113089938,0,0,0,0
586,1556,1634,3241,0.02407,0.257346393588602,0,0.0571308993766696,0.0856963490650045,0,0,0,0
587,1169,4068,5338,0.54309,0.699020480854853,0,0.155182546749777,0.232773820124666,0,0,0,0
588,1475,2310,3862,0.21621,0.394479073909172,0,0.0875743544078362,0.131361531611754,0,0,0,0
589,3382,4482,7982,0.13781,0.348174532502226,0,0.0772947462154942,0.115942119323241,0,0,0,0
590,1985,2385,4421,0.09048,0.308103294746216,0,0.0683989314336598,0.10259839715049,0,0,0,0
591,1859,6136,8138,0.52556,0.682991985752449,0,0.151624220837044,0.227436331255565,0,0,0,0
592,1987,1854,3898,-0.03412,0.227960819234194,0,0.0506073018699911,0.0759109528049867,0,0,0,0
593,2853,3180,6196,0.05278,0.278717720391808,0,0.0618753339269813,0.092813000890472,0,0,0,0
594,1863,2494,4478,0.14091,0.352626892252894,0,0.0782831700801425,0.117424755120214,0,0,0,0
595,793,2833,3669,0.55601,0.715048975957257,0,0.158740872662511,0.238111308993767,0,0,0,0
596,11430,6670,18574,-0.25627,0.125556544968833,0,0.027873552983081,0.0418103294746216,0,0,0,0
597,5423,5447,11147,0.00215,0.246660730186999,0,0.0547586821015138,0.0821380231522707,0,0,0,0
598,17422,17383,36036,-0.00108,0.243098842386465,0,0.0539679430097952,0.0809519145146928,0,0,0,0
599,8109,14076,22843,0.26122,0.432769367764915,0,0.0960747996438112,0.144112199465717,0,0,0,0
600,89465,79716,175966,-0.0554,0.218165627782725,0,0.0484327693677649,0.0726491540516474,0,0,0,0
601,6839,12652,19913,0.29192,0.456812110418522,0,0.101412288512912,0.152118432769368,0,0,0,0
602,59595,45591,108140,-0.1295,0.178094390026714,0,0.0395369545859305,0.0593054318788958,0,0,0,0
