MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
52540,434341309.387,173,266339.0541097389,263805.0343803924,173,6.132022175961845e-4,6.07368050606812e-4,3.983042742219489e-7
52612,1055732781.02,102,94031.41470628759,92493.11685463453,102,8.906743865188954e-5,8.761034848730563e-5,9.661535744059433e-8
52079,2732933276.1,258,198923.1814449449,198200.9141092143,258,7.278742704205931e-5,7.252314421377113e-5,9.440406110762273e-8
52250,2490669325.41,307,139237.1756670065,120296.39235443174,307,5.590351727806583e-5,4.8298821175159105e-5,1.2326003972826195e-7
52390,415909047.795,74,20341.851860972576,20341.851860972576,74,4.8909375664746295e-5,4.8909375664746295e-5,1.7792351571171955e-7
52427,1808095799.36,128,40847.98740928072,35686.99479172351,128,2.2591716337010144e-5,1.9737336265232965e-5,7.079270912819295e-8
52473,768052229.113,83,12612.113467650832,12612.113467650832,83,1.6420906013405073e-5,1.6420906013405073e-5,1.0806556748862529e-7
52490,1003117445.5,64,14485.953951074487,14485.953951074487,64,1.4440935122859935e-5,1.4440935122859935e-5,6.380110353688391e-8
52520,525184015.88,56,17943.986953847772,17943.986953847772,56,3.41670469992899e-5,3.41670469992899e-5,1.066292924131863e-7
52621,1457715943.18,63,16653.23187934416,13093.82237491966,63,1.1424195473238234e-5,8.982423795376452e-6,4.321829660624128e-8
52696,1224575606.16,125,19715.552416347055,19715.552416347055,125,1.6099906218261764e-5,1.6099906218261764e-5,1.0207618000163545e-7
94001,15970198591.7,453,275496.7069990266,275478.61695971724,453,1.7250675088173744e-5,1.7249542350894023e-5,2.8365332929261896e-8
94343,9467772090.07,97,40941.05939138385,36412.411903621585,97,4.324254851289007e-6,3.845932449283575e-6,1.0245282530801059e-8
94663,4927905456.65,19,6829.569437700443,6829.569437700443,19,1.3858970099526215e-6,1.3858970099526215e-6,3.855593449821629e-9
94883,2926365120.82,47,16048.689039754512,16048.689039754512,47,5.484171788945288e-6,5.484171788945288e-6,1.6060880327479463e-8
94884,15700712807.2,31,56779.15793543679,56779.15793543679,31,3.6163426866453557e-6,3.6163426866453557e-6,1.974432650330632e-9
94885,1178870686.33,0,0,0,0,0,0,0
94886,2335324704.61,8,3468.6046294784187,3468.6046294784187,8,1.4852772390200346e-6,1.4852772390200346e-6,3.4256478271341725e-9
94887,10227146784.4,32,7451.024843953952,7451.024843953952,32,7.285536231199291e-7,7.285536231199291e-7,3.1289274197972075e-9
94888,8555058239.26,21,5174.251987970845,5174.251987970845,21,6.048178566717052e-7,6.048178566717052e-7,2.454688140359927e-9
99624,3898310184.86,73,355289.79635143204,355289.79635143204,73,9.113943721853718e-5,9.113943721853718e-5,1.872606245739823e-8
99001,12204951400.8,510,907275.5365562206,907275.5365562206,510,7.433667753046123e-5,7.433667753046123e-5,4.178631960521948e-8
99524,18362896651.6,171,890752.6952823232,890752.6952823232,171,4.850828887090153e-5,4.850828887090153e-5,9.312256298360227e-9
99773,65597212353.9,632,2669165.537248234,2623869.890237367,632,4.06902281585986e-5,3.9999716391627546e-5,9.634555758106467e-9
85001,2482938634.6,4777,2118821.2167667537,2091057.1259562164,4777,8.533522283800198e-4,8.421702803352144e-4,1.9239299487438086e-6
85010,1442507307.07,1389,1033826.7929494571,1033826.7929494571,1389,7.166873872197924e-4,7.166873872197924e-4,9.629067341234595e-7
85015,313532539.093,98,118816.42594309818,118816.42594309818,98,3.7896043034900076e-4,3.7896043034900076e-4,3.1256723874178575e-7
85136,199894277.324,74,87646.55126467557,74894.21188077006,74,4.384645345429927e-4,3.746691145108535e-4,3.701956903951612e-7
85139,3754548524.24,434,998458.2597628563,984801.2881955022,434,2.6593297524766054e-4,2.622955281673572e-4,1.1559312583071511e-7
85162,779172473.98,919,612117.1806498227,612117.1806498227,919,7.85599082476744e-4,7.85599082476744e-4,1.1794564498740097e-6
85225,1101813203.04,326,475274.68301264767,464848.39773048717,326,4.3135685949426166e-4,4.2189401656100086e-4,2.9587592443123497e-7
85230,4753484118.14,492,972077.8839350062,972077.8839350062,492,2.0449797659477032e-4,2.0449797659477032e-4,1.0350302804682886e-7
85263,780471203.545,215,350952.67626039695,346388.7461095327,215,4.496676810961443e-4,4.438200212079456e-4,2.754746094711022e-7
85279,181226755.026,55,70894.20206621922,68906.17659290855,55,3.9119059465611615e-4,3.80220771392297e-4,3.034871975283635e-7
85300,400942058.26,240,243398.49144650673,241395.979328855,240,6.070664985928451e-4,6.020719811148281e-4,5.985902328170484e-7
85315,312236927.027,67,83084.49336549059,83084.49336549059,67,2.660943859414362e-4,2.660943859414362e-4,2.14580641175111e-7
85325,2989695296.77,294,697794.3771569673,697794.3771569673,294,2.333998310499564e-4,2.333998310499564e-4,9.833778054828231e-8
85400,1091231261.2,142,170359.96575738516,165020.95188792542,142,1.5611719698173284e-4,1.512245458459978e-4,1.3012823683574287e-7
85410,2381673392.42,1643,1330375.1139170716,1296503.9451628076,1643,5.585883934174903e-4,5.443668091893322e-4,6.898510959685199e-7
85430,2970227694.52,358,693845.1074965787,693845.1074965787,358,2.335999724117806e-4,2.335999724117806e-4,1.205294801676321e-7
85440,833889431.513,1125,701073.5197682944,701073.5197682944,1125,8.407271914890133e-4,8.407271914890133e-4,1.3490997217206748e-6
85125,5509712459.48,482,867910.9746197248,865959.2591286144,482,1.5752382379345388e-4,1.5716959197002137e-4,8.748187923503555e-8
85250,12115042216.7,689,1438168.4386354957,1434405.5129521443,689,1.1870932126452271e-4,1.1839872179519817e-4,5.6871448541074566e-8
91001,6182416560.34,937,249727.900226631,249276.9461244452,937,4.0393250404482174e-5,4.032030900724947e-5,1.5155885904078745e-7
91263,10897546705.2,70,13562.510627316213,13285.495919860496,70,1.2445471438855652e-6,1.2191272292066465e-6,6.42346409642805e-9
