"MPIO_CDPMP","discap4t5","disbog4t5","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","FID_4t5"
"08549",42.1117973327637,710.522521972656,0.96969696969697,0.363636363636364,0,0,0.581818181818182,476
"08558",28.227689743042,707.76025390625,0.966131907308378,0.362299465240642,0,0,0.579679144385027,477
"08560",42.3698501586914,693.318054199219,0.954545454545455,0.357954545454545,0,0,0.572727272727273,478
"08573",5.75177383422852,735.778869628906,0.981283422459893,0.36798128342246,0,0,0.588770053475936,479
"08606",62.4656982421875,687.284973144531,0.950980392156863,0.356617647058823,0,0,0.570588235294118,480
"08634",25.5985717773438,710.875793457031,0.970588235294118,0.363970588235294,0,0,0.582352941176471,481
"08638",43.5566177368164,695.069030761719,0.959001782531194,0.359625668449198,0,0,0.575401069518717,482
"08675",74.2938766479492,664.050537109375,0.934046345811052,0.350267379679144,0,0,0.560427807486631,483
"08685",30.9278182983398,704.927429199219,0.963458110516934,0.36129679144385,0,0,0.57807486631016,484
"08758",13.9671039581299,722.892944335938,0.975935828877005,0.365975935828877,0,0,0.585561497326203,485
"08770",77.0332412719727,659.997863769531,0.932263814616756,0.349598930481283,0,0,0.559358288770053,486
"08832",20.2256183624268,724.697631835938,0.978609625668449,0.366978609625668,0,0,0.58716577540107,487
"08849",32.7271499633789,708.190002441406,0.967023172905526,0.362633689839572,0,0,0.580213903743315,488
"11001",0,0,0.00089126559714795,0,0.889,1,0,908
"13001",0,679.001098632812,0.944741532976827,0.35427807486631,0,0,0.566844919786096,489
"13006",227.75260925293,466.658447265625,0.754901960784314,0.283088235294118,0,0,0.452941176470588,490
"13030",227.531890869141,484.479187011719,0.775401069518717,0.290775401069519,0,0,0.46524064171123,491
"13042",273.741027832031,441.3095703125,0.723707664884136,0.271390374331551,0,0,0.434224598930481,492
"13052",29.323600769043,650.751831054688,0.92602495543672,0.34725935828877,0,0,0.555614973262032,493
"13062",53.5642852783203,654.212158203125,0.928698752228164,0.348262032085562,0,0,0.557219251336898,494
"13074",224.602935791016,491.160491943359,0.7825311942959,0.293449197860963,0,0,0.46951871657754,495
"13140",58.3175659179688,653.901184082031,0.927807486631016,0.347927807486631,0,0,0.55668449197861,496
"13160",376.118194580078,317.779388427734,0.574866310160428,0.21557486631016,0,0,0.344919786096257,497
"13188",155.433135986328,538.778198242188,0.842245989304813,0.315842245989305,0,0,0.505347593582888,498
"13212",115.976112365723,573.02685546875,0.887700534759358,0.332887700534759,0,0,0.532620320855615,499
"13222",28.0118198394775,694.168823242188,0.957219251336898,0.358957219251337,0,0,0.574331550802139,500
"13244",83.158805847168,598.427978515625,0.901960784313726,0.338235294117647,0,0,0.541176470588235,501
"13248",73.7284851074219,630.402709960938,0.913547237076649,0.342580213903743,0,0,0.548128342245989,502
"13268",242.937103271484,494.507537841797,0.786096256684492,0.294786096256685,0,0,0.471657754010695,503
"13300",219.033401489258,508.557525634766,0.806595365418895,0.302473262032086,0,0,0.483957219251337,1108
"13430",166.351318359375,524.766174316406,0.823529411764706,0.308823529411765,0,0,0.494117647058823,1110
"13433",43.5855751037598,648.328857421875,0.924242424242424,0.346590909090909,0,0,0.554545454545454,504
"13440",202.655288696289,516.783996582031,0.813725490196078,0.305147058823529,0,0,0.488235294117647,505
"13442",48.7252044677734,631.210754394531,0.915329768270945,0.343248663101604,0,0,0.549197860962567,506
"13458",292.423034667969,394.312194824219,0.671122994652406,0.251671122994652,0,0,0.402673796791444,507
"13468",174.06037902832,526.7021484375,0.828877005347594,0.310828877005348,0,0,0.497326203208556,508
"13473",291.119018554688,427.259582519531,0.711229946524064,0.266711229946524,0,0,0.426737967914438,509
"13490",291.119018554688,427.259582519531,0.711229946524064,0.266711229946524,0,0,0.426737967914438,510
"13549",206.568069458008,497.65673828125,0.789661319073084,0.296122994652406,0,0,0.47379679144385,511
"13580",257.132995605469,483.404296875,0.772727272727273,0.289772727272727,0,0,0.463636363636364,512
"13600",263.078399658203,454.812072753906,0.740641711229946,0.27774064171123,0,0,0.444385026737968,513
"13620",47.6336250305176,668.972351074219,0.937611408199644,0.351604278074866,0,0,0.562566844919786,514
"13647",33.2396697998047,670.437255859375,0.938502673796791,0.351938502673797,0,0,0.563101604278075,515
"13650",191.556030273438,520.460021972656,0.818181818181818,0.306818181818182,0,0,0.490909090909091,1109
"13654",71.6895141601562,612.759765625,0.909090909090909,0.340909090909091,0,0,0.545454545454545,516
"13655",255.589538574219,428.699615478516,0.713903743315508,0.267713903743315,0,0,0.428342245989305,517
"13657",66.6894454956055,625.380004882812,0.912655971479501,0.342245989304813,0,0,0.5475935828877,518
"13667",241.194412231445,488.083984375,0.77807486631016,0.29177807486631,0,0,0.466844919786096,519
"13670",360.769622802734,333.361175537109,0.601604278074866,0.225601604278075,0,0,0.36096256684492,520
"13673",43.9163970947266,707.600708007812,0.96524064171123,0.361965240641711,0,0,0.579144385026738,521
"13683",20.3780364990234,683.963745117188,0.950089126559715,0.356283422459893,0,0,0.570053475935829,522
"13688",320.143524169922,375.686584472656,0.6524064171123,0.244652406417112,0,0,0.39144385026738,523
"13744",322.159606933594,385.237030029297,0.664884135472371,0.249331550802139,0,0,0.398930481283422,524
"13760",42.9085807800293,665.967224121094,0.9349376114082,0.350601604278075,0,0,0.56096256684492,525
