"MPIO_CDPMP","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","FID_6t9"
"05656","Región Eje Cafetero - Antioquia",5,"Antioquia",5.656,"San Jerónimo","North",0.25,0.222,0.333,0.1,360
"05658","Región Eje Cafetero - Antioquia",5,"Antioquia",5.658,"San José de La Montaña","North",0.25,0.222,0.333,0.1,359
"05659","Región Eje Cafetero - Antioquia",5,"Antioquia",5.659,"San Juan de Urabá","North",0.25,0.222,0.333,0.1,358
"05660","Región Eje Cafetero - Antioquia",5,"Antioquia",5.66,"San Luis","North",0.25,0.222,0.333,0.1,357
"05664","Región Eje Cafetero - Antioquia",5,"Antioquia",5.664,"San Pedro","North",0.25,0.222,0.333,0.1,356
"05665","Región Eje Cafetero - Antioquia",5,"Antioquia",5.665,"San Pedro de Uraba","North",0.25,0.222,0.333,0.1,355
"05667","Región Eje Cafetero - Antioquia",5,"Antioquia",5.667,"San Rafael","North",0.25,0.222,0.333,0.1,354
"05670","Región Eje Cafetero - Antioquia",5,"Antioquia",5.67,"San Roque","North",0.25,0.222,0.333,0.1,353
"05674","Región Eje Cafetero - Antioquia",5,"Antioquia",5.674,"San Vicente","North",0.25,0.222,0.333,0.1,352
"05679","Región Eje Cafetero - Antioquia",5,"Antioquia",5.679,"Santa Bárbara","North",0.25,0.222,0.333,0.1,328
"05686","Región Eje Cafetero - Antioquia",5,"Antioquia",5.686,"Santa Rosa de Osos","North",0.25,0.222,0.333,0.1,327
"05690","Región Eje Cafetero - Antioquia",5,"Antioquia",5.69,"Santo Domingo","North",0.25,0.222,0.333,0.1,326
"05697","Región Eje Cafetero - Antioquia",5,"Antioquia",5.697,"El Santuario","North",0.25,0.222,0.333,0.1,325
"05736","Región Eje Cafetero - Antioquia",5,"Antioquia",5.736,"Segovia","North",0.25,0.222,0.333,0.1,324
"05756","Región Eje Cafetero - Antioquia",5,"Antioquia",5.756,"Sonsón","North",0.25,0.222,0.333,0.1,323
"05761","Región Eje Cafetero - Antioquia",5,"Antioquia",5.761,"Sopetrán","North",0.25,0.222,0.333,0.1,322
"05789","Región Eje Cafetero - Antioquia",5,"Antioquia",5.789,"Támesis","North",0.25,0.222,0.333,0.1,321
"05790","Región Eje Cafetero - Antioquia",5,"Antioquia",5.79,"Tarazá","North",0.25,0.222,0.333,0.1,320
"05792","Región Eje Cafetero - Antioquia",5,"Antioquia",5.792,"Tarso","North",0.25,0.222,0.333,0.1,319
"05809","Región Eje Cafetero - Antioquia",5,"Antioquia",5.809,"Titiribí","North",0.25,0.222,0.333,0.1,318
"05819","Región Eje Cafetero - Antioquia",5,"Antioquia",5.819,"Toledo","North",0.25,0.222,0.333,0.1,317
"05837","Región Eje Cafetero - Antioquia",5,"Antioquia",5.837,"Turbo","North",0.25,0.222,0.333,0.1,316
"05842","Región Eje Cafetero - Antioquia",5,"Antioquia",5.842,"Uramita","North",0.25,0.222,0.333,0.1,315
"05847","Región Eje Cafetero - Antioquia",5,"Antioquia",5.847,"Urrao","North",0.25,0.222,0.333,0.1,401
"05854","Región Eje Cafetero - Antioquia",5,"Antioquia",5.854,"Valdivia","North",0.25,0.222,0.333,0.1,314
"05856","Región Eje Cafetero - Antioquia",5,"Antioquia",5.856,"Valparaíso","North",0.25,0.222,0.333,0.1,313
"05858","Región Eje Cafetero - Antioquia",5,"Antioquia",5.858,"Vegachí","North",0.25,0.222,0.333,0.1,312
"05861","Región Eje Cafetero - Antioquia",5,"Antioquia",5.861,"Venecia","North",0.25,0.222,0.333,0.1,311
"05873","Región Eje Cafetero - Antioquia",5,"Antioquia",5.873,"Vigía del Fuerte","North",0.25,0.222,0.333,0.1,403
"05885","Región Eje Cafetero - Antioquia",5,"Antioquia",5.885,"Yalí","North",0.25,0.222,0.333,0.1,310
"05887","Región Eje Cafetero - Antioquia",5,"Antioquia",5.887,"Yarumal","North",0.25,0.222,0.333,0.1,309
"05890","Región Eje Cafetero - Antioquia",5,"Antioquia",5.89,"Yolombó","North",0.25,0.222,0.333,0.1,308
"05893","Región Eje Cafetero - Antioquia",5,"Antioquia",5.893,"Yondó","North",0.25,0.222,0.333,0.1,307
"05895","Región Eje Cafetero - Antioquia",5,"Antioquia",5.895,"Zaragoza","North",0.25,0.222,0.333,0.1,306
"08001","Región Caribe",8,"Atlántico",8.001,"Barranquilla","North",0.25,0.222,0.333,0.1,466
"08078","Región Caribe",8,"Atlántico",8.078,"Baranoa","North",0.25,0.222,0.333,0.1,467
"08137","Región Caribe",8,"Atlántico",8.137,"Campo de La Cruz","North",0.25,0.222,0.333,0.1,468
"08141","Región Caribe",8,"Atlántico",8.141,"Candelaria","North",0.25,0.222,0.333,0.1,469
"08296","Región Caribe",8,"Atlántico",8.296,"Galapa","North",0.25,0.222,0.333,0.1,470
"08372","Región Caribe",8,"Atlántico",8.372,"Juan de Acosta","North",0.25,0.222,0.333,0.1,471
"08421","Región Caribe",8,"Atlántico",8.421,"Luruaco","North",0.25,0.222,0.333,0.1,472
"08433","Región Caribe",8,"Atlántico",8.433,"Malambo","North",0.25,0.222,0.333,0.1,473
