"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","n_6t9","s_6t9","e_6t9","w_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","nAllRds_13","lAllRds_13","lRds_13","lMjRds_13","nAR_13pkm","lAR_13pkm","lRds_13pkm","lMjRds_13pkm","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"50226","Meta","Piedemonte","Cumaral",0.342735767364502,357.226108284226,35330.9263489603,22.7,104.563652038574,0.0347463229710118,0,0,0.0268115232110245,30,0,104,1,0,42312,34,904,0.000803554547173379,0.021365097371904,625092445.897,625092.445897,0.0676891878596978,33.434497833252,713,448373.843471672,448373.843471672,713,0.00114063128530829,0.71729205242316,0.71729205242316,0.00114063128530829,0.706803102513784,0.000709018718094158,0,0.00245793155605975,2.36339572698053e-05,0
"50245","Meta","Piedemonte","El Calvario",0.667792797088623,16.7355144680712,35330.9263489603,29.7,51.1594352722168,0.0475195341495952,0,0,0.0729976777321354,0,0,0,0,0,2774,2,50,0.000720980533525595,0.0180245133381399,277851647.616,277851.647616,0.00998374500853692,41.841724395752,149,110527.435771411,82116.2477359525,149,0.000536257392311464,0.397792983125167,0.295539898505262,0.000536257392311464,0.816591422121896,0,0,0,0,0
"50251","Meta","Ariari","El Castillo",0.621411561965942,117.158142875501,35330.9263489603,42.2,95.6377029418945,0,0.0353031257859676,0,0.0930593228115865,3,0,9,1,4.46,14506,4,102,0.000275747966358748,0.00703157314214808,568218055.64,568218.05564,0.0255289318176655,73.4971389770508,272,308416.455249056,267287.685812474,272,0.000478689470178202,0.542778343961066,0.470396326127688,0.000478689470178202,0.51510989010989,0.000206810974769061,0,0.000620432924307183,6.8936991589687e-05,0.000784909940071611
"50270","Meta","Ariari","El Dorado",0.636831283569336,45.5158651221683,35330.9263489603,28.9,85.2979965209961,0,0.024070477935729,0,0.0865426022425164,0,0,7,0,0,7204,30,158,0.00416435313714603,0.0219322598556358,117341083.432,117341.083432,0.0613936720992931,57.3562278747559,131,95928.3122201563,95928.3122201563,131,0.00111640353206655,0.817516844181411,0.817516844181411,0.00111640353206655,0.785004965243297,0,0,0.000971682398667407,0,0
"50287","Meta","Ariari","Fuente de Oro",0.429219216108322,491.681904348092,35330.9263489603,32,132.079223632812,0,0.0639862256339323,0,0.0593417523032418,12,0,29,2,0,23072,16,366,0.000693481276005548,0.0158633841886269,570991217.672,570991.217672,0.0404069262116978,79.6804275512695,363,386394.787311487,386394.787311487,363,0.000635736573112271,0.676708809790218,0.676708809790218,0.000635736573112271,0.677009057621892,0.000520110957004161,0,0.00125693481276006,8.66851595006935e-05,0
"50313","Meta","Ariari","Granada",0.153652936220169,880.963125778178,35330.9263489603,29.6,111.942626953125,0,0.0499440792023144,0,0.076758552450283,218,0,470,18,0,127918,274,2770,0.00214199721696712,0.0216544974124048,348311787.585,348311.787585,0.367251424038538,68.6543121337891,1281,602343.925872228,602343.925872228,1281,0.00367773944396697,1.72932397737253,1.72932397737253,0.00367773944396697,0.680094620641318,0.00170421676386435,0,0.00367422880282681,0.000140715145640176,0
"50318","Meta","Piedemonte","Guamal",0.319427728652954,1025.26417352273,35330.9263489603,22.6,56.8553695678711,0.00474733585578462,0,0,0.101360823787416,17,0,80,1,0,27678,24,260,0.00086711467591589,0.00939374232242214,595703918.311,595703.918311,0.0464626791082313,50.0033264160156,626,297230.410146967,296993.749491545,626,0.00105085761694316,0.498956614201405,0.498559335203991,0.00105085761694316,0.773394259235423,0.000614206228773755,0,0.00289038225305297,3.61297781631621e-05,0
"50325","Meta","Ariari","Mapiripán",0.647352635860443,116.454094033399,35330.9263489603,64.2,266.032958984375,0,0.0965542096904742,0.183579642049306,0,6,0,33,12,231.552,11532,3284,4936,0.284772806104752,0.428026361429067,11949028404.1,11949028.4041,0.000965099388000709,182.985397338867,343,1525964.56275032,1453900.84237219,343,2.87052627544436e-05,0.12770616247148,0.121675235274637,2.87052627544436e-05,0.727983777520278,0.000520291363163372,0,0.00286160249739854,0.00104058272632674,0.00193783119571922
"50330","Meta","Ariari","Mesetas",0.592615842819214,130.04762588598,35330.9263489603,45.1,151.669326782227,0,0.091973874079275,0,0.120396144577737,50,0,29,5,10.19,19258,1144,1450,0.0594038841001142,0.0752933845674525,2280629990.25,2280629.99025,0.00844415800999309,127.60977935791,367,531855.02262218,522108.949921612,367,0.000160920448108187,0.233205309452183,0.228931896955533,0.000160920448108187,0.5085,0.00259632360577422,0,0.00150586769134905,0.000259632360577422,0.000446806366818099
"50350","Meta","Ariari","La Macarena",0.824358522891998,231.071642452667,35330.9263489603,67.9,221.23828125,0,0.214070848864886,0,0.116967503538239,54,0,45,28,832.0678,46226,1838,4802,0.0397611733656384,0.103880932808376,10839333930.4,10839333.9304,0.00426465318780839,162.311187744141,1101,2743249.47456337,2679382.99394199,1101,0.000101574506982586,0.253082845512273,0.247190741714063,0.000101574506982586,0.510450397409479,0.00116817375502964,0,0.000973478129191364,0.000605719724830182,0.00767637389292328
