"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","North_6","South_7","West_8","East_9","EjeCafe_6t9","Caribe_6t9","CSur_6t9","Pacif_6t9","COrient_6t9","Llano_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"05129","Antioquia","Valle del aburra","Caldas",0.20908360183239,1088.96883182339,141680.080332056,16,244.527633666992,1,0,0,0,1,0,0,0,0,0,39,0,353,30,0,151942,46,2016,0.000302747100867436,0.0132682207684511,132755935.74,132755.93574,1.14452132895644,22.9242782592773,0.715280376329716,0.00025667688986587,0,0.00232325492622185,0.000197443761435285,0
"05134","Antioquia","Norte","Campamento",0.732043921947479,70.5949268714189,141680.080332056,59.3,319.755401611328,1,0,0,0,1,0,0,0,0,0,43,0,6,2,0,14804,0,156,0,0.0105376925155363,206343346.409,206343.346409,0.0717444989510662,17.0625343322754,0.84358841778697,0.0029046203728722,0,0.000405295865982167,0.000135098621994056,0
"05138","Antioquia","Occidente","Cañasgordas",0.673001348972321,148.600618315097,141680.080332056,45.3,341.110229492188,1,0,0,0,1,0,0,0,0,0,18,0,16,3,0,27124,6,264,0.000221206311753429,0.00973307771715086,364831230.142,364831.230142,0.0743467054326538,38.0229225158691,0.90711925089507,0.000663618935260286,0,0.000589883498009143,0.000110603155876714,0
"05142","Antioquia","Magdalena medio","Caracolí",0.402226090431213,49.6582189018253,141680.080332056,35.9,224.662170410156,1,0,0,0,1,0,0,0,0,0,0,0,7,1,7.7086,7910,0,48,0,0.00606826801517067,262798775.407,262798.775407,0.0300990748063787,35.4302139282227,0.810140237324703,0,0,0.000884955752212389,0.000126422250316056,0.00293327089826107
"05145","Antioquia","Suroeste","Caramanta",0.538266897201538,64.9018175701541,141680.080332056,30.5,203.388473510742,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,8538,2,72,0.000234246896228625,0.0084328882642305,92057783.1446,92057.7831446,0.0927460960752109,33.4505424499512,0.827919407894737,0,0,0.00046849379245725,0,0
"05147","Antioquia","Urabá","Carepa",0.311336904764175,1072.43279085765,141680.080332056,34.4,468.302734375,1,0,0,0,1,0,0,0,0,0,821,0,192,29,3.6396,90600,136,23484,0.00150110375275938,0.259205298013245,387270642.17,387270.64217,0.233944921547214,94.2950744628906,0.50922841697155,0.00906181015452539,0,0.00211920529801325,0.000320088300220751,0.000939807876890995
"05148","Antioquia","Oriente","El Carmen de Viboral",0.424616277217865,592.818761175642,141680.080332056,18.5,216.316162109375,1,0,0,0,1,0,0,0,0,0,128,0,181,13,0,107212,52,626,0.000485020333544752,0.00583889863075029,423645191.573,423645.191573,0.253070262881824,0,0.74472522080471,0.00119389620564862,0,0.0016882438533,0.000121255083386188,0
"05150","Antioquia","Norte","Carolina",0.259231150150299,44.2679961326005,141680.080332056,20.4,289.920043945312,1,0,0,0,1,0,0,0,0,0,20,0,19,0,0,6640,16,152,0.00240963855421687,0.0228915662650602,149580817.998,149580.817998,0.0443907186019586,31.1260166168213,0.835436382754995,0.00301204819277108,0,0.00286144578313253,0,0
"05154","Antioquia","Bajo cauca","Caucasia",0.148991823196411,1179.32388471517,141680.080332056,36,386.896301269531,1,0,0,0,1,0,0,0,0,0,1866,0,294,153,1.2,168918,2150,10118,0.0127280692406967,0.059898885849939,1429121976.16,1429121.97616,0.118197048829853,101.891052246094,0.568040617275703,0.0110467800944837,0,0.00174048946826271,0.000905764927361205,8.39676402726909e-05
"05172","Antioquia","Urabá","Chigorodó",0.180026143789291,880.266936199826,141680.080332056,37.7,453.472930908203,1,0,0,0,1,0,0,0,0,0,116,0,130,42,24.4898,111116,4440,60026,0.0399582418373592,0.540210230749847,721682645.255,721682.645255,0.153967953546587,77.93408203125,0.497851992021685,0.00104395406602109,0,0.00116994852226502,0.000377983368731776,0.00339343063894058
"05190","Antioquia","Nordeste","Cisneros",0.139130428433418,129.185579321923,141680.080332056,28.8,258.074188232422,1,0,0,0,1,0,0,0,0,0,53,0,25,8,0,17782,12,350,0.000674839725565178,0.0196828253289844,46934731.7947,46934.7317947,0.378866551912586,25.2517318725586,0.809287557054971,0.0029805421212462,0,0.00140591609492745,0.000449893150376785,0
"05197","Antioquia","Oriente","Cocorná",0.592527866363525,150.93701513786,141680.080332056,42.9,209.783462524414,1,0,0,0,1,0,0,0,0,0,51,0,35,7,0,29406,0,300,0,0.01020199959192,241764703.415,241764.703415,0.12163065817562,10.4198131561279,0.904466342462247,0.0017343399306264,0,0.001190233285724,0.0002380466571448,0
"05206","Antioquia","Oriente","Concepción",0.602251410484314,55.4154586356485,141680.080332056,33,248.611541748047,1,0,0,0,1,0,0,0,0,0,11,0,11,0,0,7802,0,62,0,0.00794668033837478,202054485.615,202054.485615,0.0386133471684768,15.8244400024414,0.909188492915414,0.00140989489874391,0,0.00140989489874391,0,0
"05209","Antioquia","Suroeste","Concordia",0.656219303607941,287.84460286039,141680.080332056,48.5,264.446502685547,1,0,0,0,1,0,0,0,0,0,27,0,62,4,0,32126,0,276,0,0.00859117225922928,247880390.482,247880.390482,0.129602829564418,37.5523910522461,0.906862033947483,0.000840440764489821,0,0.0019299010147544,0.000124509742887381,0
"05212","Antioquia","Valle del aburra","Copacabana",0.199540346860886,1235.10103603093,141680.080332056,11.6,263.155395507812,1,0,0,0,1,0,0,0,0,0,306,0,613,19,0,152156,102,3038,0.000670364625778806,0.0199663503246668,67760717.3127,67760.7173127,2.24548980639971,18.3358554840088,0.697016925054002,0.00201109387733642,0,0.00402875995688635,0.000124871842056836,0
"05234","Antioquia","Occidente","Dabeiba",0.607620179653168,248.802349325201,141680.080332056,60.5,376.300994873047,1,0,0,0,1,0,0,0,0,0,35,0,26,8,5.3889,45356,9484,10156,0.209101331687098,0.223917453038187,1957262707.89,1957262.70789,0.0231731794700648,0,0.719679806675729,0.000771672987035894,0,0.000573242790369521,0.000176382397036776,0.000275328395022119
"05237","Antioquia","Norte","Don Matías",0.360861271619797,406.655935756823,141680.080332056,19.7,269.421508789062,1,0,0,0,1,0,0,0,0,0,33,0,63,7,0,28326,0,190,0,0.00670761844242039,203332310.635,203332.310635,0.139308897398248,24.4231777191162,0.874093207298307,0.00116500741368354,0,0.00222410506248676,0.000247122784720751,0
"05240","Antioquia","Occidente","Ebéjico",0.816663920879364,216.345180597531,141680.080332056,39.1,277.043212890625,1,0,0,0,1,0,0,0,0,0,18,0,15,3,0,20646,4,216,0.000193742129226,0.010462074978204,237779378.352,237779.378352,0.0868283874871454,14.7454261779785,0.885861423220974,0.000871839581517001,0,0.000726532984597501,0.0001453065969195,0
"05250","Antioquia","Bajo cauca","El Bagre",0.367108851671219,848.911598308015,141680.080332056,53.7,360.169769287109,1,0,0,0,1,0,0,0,0,0,827,0,75,51,188.6483,95098,1760,6506,0.0185072241266904,0.0684136364592315,1560248871.59,1560248.87159,0.0609505327846119,105.100395202637,0.662930474333983,0.00869629224589371,0,0.000788660119035101,0.000536288880943868,0.0120909108434576
"05264","Antioquia","Norte","Entrerrios",0.494309514760971,358.38687253515,141680.080332056,23.1,285.947723388672,1,0,0,0,1,0,0,0,0,0,12,0,26,1,0,17558,14,162,0.000797357329992026,0.00922656338990773,214195945.798,214195.945798,0.0819716728745103,35.809741973877,0.844137480965847,0.000683449139993166,0,0.00148080646998519,5.69540949994305e-05,0
"05266","Antioquia","Valle del aburra","Envigado",0.0571645796298981,8983.04441551708,141680.080332056,4.9,248.753890991211,1,0,0,0,1,0,0,0,0,0,81,0,2164,18,0,423116,196,8392,0.000463229941670842,0.0198338044413352,77996703.2338,77996.7032338,5.42479338814723,15.9257688522339,0.786623330316246,0.000191436863649685,0,0.00511443670293726,4.25415252554855e-05,0
"05282","Antioquia","Suroeste","Fredonia",0.670968532562256,350.58460495141,141680.080332056,31.6,233.416137695312,1,0,0,0,1,0,0,0,0,0,4,0,62,19,0,37488,30,464,0.000800256081946223,0.0123772940674349,258092598.979,258092.598979,0.145250193722332,10.7724838256836,0.791136850056654,0.000106700810926163,0,0.00165386256935553,0.000506828851899274,0
"05284","Antioquia","Occidente","Frontino",0.583441853523254,193.704980505634,141680.080332056,51.3,345.832885742188,1,0,0,0,1,0,0,0,0,0,24,0,19,4,1.7,40222,7552,8150,0.187757943414052,0.202625428869773,1384131364.7,1384131.3647,0.0290593805080906,40.0045013427734,0.733751425313569,0.000596688379493809,0,0.000472378300432599,9.94480632489682e-05,0.000122820712206638
"05306","Antioquia","Occidente","Giraldo",0.62824672460556,54.0383628531359,141680.080332056,33.4,316.324279785156,1,0,0,0,1,0,0,0,0,0,9,0,12,3,0,10114,0,66,0,0.00652560806802452,93494441.2874,93494.4412874,0.108177554309456,52.1254348754883,0.74989749897499,0.000889855645639707,0,0.00118647419418628,0.000296618548546569,0
"05308","Antioquia","Valle del aburra","Girardota",0.445395082235336,2026.78510363373,141680.080332056,13.9,262.203125,1,0,0,0,1,0,0,0,0,0,81,0,277,13,0,96620,90,6722,0.000931484164769199,0.0695715172842062,82856000.9499,82856.0009499,1.16611951931427,17.8041114807129,0.688952128489007,0.000838335748292279,0,0.00286690126267853,0.000134547712688884,0
"05310","Antioquia","Norte","Gómez Plata",0.485594183206558,319.742014659961,141680.080332056,34.1,279.271209716797,1,0,0,0,1,0,0,0,0,0,11,0,27,3,1.2303,16424,2,250,0.000121773015099854,0.0152216268874817,332204628.693,332204.628693,0.0494394074658662,37.3215713500977,0.881513204853676,0.000669751583049196,0,0.00164393570384803,0.000182659522649781,0.000370344027065606
"05313","Antioquia","Oriente","Granada",0.452307999134064,80.5062171866786,141680.080332056,33.4,216.770172119141,1,0,0,0,1,0,0,0,0,0,11,0,23,0,0,18406,234,732,0.0127132456807563,0.0397696403346735,190225121.12,190225.12112,0.0967590394561448,0,0.902678905957287,0.000597631207215039,0,0.0012495925241769,0,0
"05315","Antioquia","Norte","Guadalupe",0.661128044128418,63.0248363406485,141680.080332056,41.1,296.516967773438,1,0,0,0,1,0,0,0,0,0,12,0,6,0,0,10904,10,114,0.000917094644167278,0.010454878943507,118209748.084,118209.748084,0.0922428156453866,29.4746475219727,0.78372539606337,0.00110051357300073,0,0.000550256786500367,0,0
"05318","Antioquia","Oriente","Guarne",0.667241156101227,1342.23078015307,141680.080332056,17,249.832397460938,1,0,0,0,1,0,0,0,0,0,96,0,398,4,0,84068,78,876,0.000927820335918542,0.0104201360803159,151811638.199,151811.638199,0.553765185576884,12.5693120956421,0.793500236589668,0.00114193272113051,0,0.00473426273968692,4.75805300471047e-05,0
"05321","Antioquia","Oriente","Guatapé",0.351907223463058,338.433025233169,141680.080332056,11.4,232.227935791016,1,0,0,0,1,0,0,0,0,0,11,0,36,0,0,13996,8,186,0.000571591883395256,0.0132895112889397,83326889.2105,83326.8892105,0.167964988644222,0,0.815186559022474,0.000785938839668477,0,0.00257216347527865,0,0
"05347","Antioquia","Occidente","Heliconia",0.574756920337677,56.2237708072245,141680.080332056,37.5,266.327392578125,1,0,0,0,1,0,0,0,0,0,2,0,16,2,0,9418,12,94,0.00127415587173498,0.00998088766192397,114848828.506,114848.828506,0.0820034485550541,14.9040260314941,0.866181818181818,0.000212359311955829,0,0.00169887449564663,0.000212359311955829,0
"05353","Antioquia","Suroeste","Hispania",0.375388562679291,65.1984296210481,141680.080332056,36.9,246.891571044922,1,0,0,0,1,0,0,0,0,0,6,0,9,9,0,9900,22,138,0.00222222222222222,0.0139393939393939,57521601.2777,57521.6012777,0.172109256002893,36.2856788635254,0.829930583911801,0.000606060606060606,0,0.000909090909090909,0.000909090909090909,0
"05360","Antioquia","Valle del aburra","Itagui",0.104161247611046,7573.12502172918,141680.080332056,10.9,253.31396484375,1,0,0,0,1,0,0,0,0,0,543,0,2669,49,0,523152,626,9676,0.00119659295959874,0.018495580634309,19649555.244,19649.555244,26.6241140577339,11.8764009475708,0.746867339089425,0.00103793926048261,0,0.00510176774627642,9.36630271890388e-05,0
"05361","Antioquia","Norte","Ituango",0.738716125488281,234.502837596598,141680.080332056,57.6,356.953216552734,1,0,0,0,1,0,0,0,0,0,227,0,34,63,1038.6076,36886,954,1386,0.0258634712356992,0.0375752317952611,2841116088.67,2841116.08867,0.0129829260223109,42.8892250061035,0.655608755129959,0.00615409640514016,0,0.000921758932928482,0.00170796508160278,0.0365563239088269
"05364","Antioquia","Suroeste","Jardín",0.472447991371155,192.206744634448,141680.080332056,28.5,224.103057861328,1,0,0,0,1,0,0,0,0,0,18,0,21,25,0,26906,2950,3150,0.109640972273842,0.117074258529696,201162561.663,201162.561663,0.133752522226649,39.938304901123,0.779687082107515,0.000668995763026834,0,0.00078049505686464,0.000929160781981714,0
"05368","Antioquia","Suroeste","Jericó",0.441422283649445,198.46648338322,141680.080332056,25.8,231.013259887695,1,0,0,0,1,0,0,0,0,0,0,0,37,2,0,22092,4,174,0.000181061017562919,0.00787615426398696,205000675.226,205000.675226,0.107765498702114,20.8432235717773,0.876030386293842,0,0,0.001674814412457,9.05305087814593e-05,0
"05376","Antioquia","Oriente","La Ceja",0.155172675848007,793.477975228718,141680.080332056,11.5,224.337753295898,1,0,0,0,1,0,0,0,0,0,30,0,310,6,0,117574,30,1186,0.000255158453399561,0.0100872641910627,132714952.735,132714.952735,0.885913739010005,0,0.796294592190424,0.000255158453399561,0,0.00263663735179546,5.10316906799122e-05,0
"05380","Antioquia","Valle del aburra","La Estrella",0.147431686520576,1853.50597043279,141680.080332056,9.2,252.657501220703,1,0,0,0,1,0,0,0,0,0,169,0,550,12,1.0596,134004,24,1524,0.000179099131369213,0.011372794841945,36631794.4918,36631.7944918,3.65813364753388,14.8012199401855,0.73299633791355,0.00126115638339154,0,0.00410435509387779,8.95495656846064e-05,0.00289256918668615
