MPIO_CDPMP,municipio,depto,pct_elec_dom,pct_civlib_dom,pct_convergent,n_years,stability_type
63190,Circasia,Quindio,0,0,1,21,Structurally convergent
63212,Córdoba,Quindio,0,0,1,21,Structurally convergent
63272,Filandia,Quindio,0,0,1,21,Structurally convergent
63302,Génova,Quindio,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
63401,La Tebaida,Quindio,0,0,1,21,Structurally convergent
63470,Montenegro,Quindio,0,0,1,21,Structurally convergent
63548,Pijao,Quindio,0,0,1,21,Structurally convergent
63594,Quimbaya,Quindio,0,0,1,21,Structurally convergent
63690,Salento,Quindio,0,0,1,21,Structurally convergent
66001,Pereira,Risaralda,0,0,1,21,Structurally convergent
66045,Apía,Risaralda,0,0,1,21,Structurally convergent
66075,Balboa,Risaralda,0,0,1,21,Structurally convergent
66088,Belén De Umbría,Risaralda,0,0,1,4,Structurally convergent
66088,Belén de Umbría,Risaralda,0,0,1,17,Structurally convergent
66170,Dosquebradas,Risaralda,0,0,1,21,Structurally convergent
66318,Guática,Risaralda,0,0.09523809523809523,0.9047619047619048,21,Structurally convergent
66383,La Celia,Risaralda,0,0,1,21,Structurally convergent
66400,La Virginia,Risaralda,0,0,1,21,Structurally convergent
66440,Marsella,Risaralda,0,0,1,21,Structurally convergent
66456,Mistrató,Risaralda,0,0,1,21,Structurally convergent
66572,Pueblo Rico,Risaralda,0,0,1,21,Structurally convergent
66594,Quinchía,Risaralda,0,0,1,21,Structurally convergent
66682,Santa Rosa De Cabal,Risaralda,0,0,1,4,Structurally convergent
66682,Santa Rosa de Cabal,Risaralda,0,0,1,17,Structurally convergent
66687,Santuario,Risaralda,0,0,1,21,Structurally convergent
68001,Bucaramanga,Santander,0,0,1,21,Structurally convergent
68013,Aguada,Santander,0,0,1,21,Structurally convergent
68020,Albania,Santander,0.38095238095238093,0,0.6190476190476191,21,Episodic / mixed
68051,Aratoca,Santander,0.3333333333333333,0,0.6666666666666666,21,Episodic / mixed
68077,Barbosa,Santander,0.3333333333333333,0,0.6666666666666666,21,Episodic / mixed
68079,Barichara,Santander,0,0.047619047619047616,0.9523809523809523,21,Structurally convergent
68081,Barrancabermeja,Santander,0,0,1,21,Structurally convergent
68092,Betulia,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68101,Bolívar,Santander,0.42857142857142855,0,0.5714285714285714,21,Episodic / mixed
68121,Cabrera,Santander,0.23809523809523808,0.047619047619047616,0.7142857142857143,21,Episodic / mixed
68132,California,Santander,0.5714285714285714,0,0.42857142857142855,21,Episodic / mixed
68147,Capitanejo,Santander,0.3333333333333333,0,0.6666666666666666,21,Episodic / mixed
68152,Carcasí,Santander,0.5238095238095238,0,0.47619047619047616,21,Episodic / mixed
68160,Cepitá,Santander,0.47619047619047616,0,0.5238095238095238,21,Episodic / mixed
68162,Cerrito,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68167,Charalá,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68169,Charta,Santander,0.19047619047619047,0.047619047619047616,0.7619047619047619,21,Episodic / mixed
68176,Chima,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68179,Chipatá,Santander,0.23809523809523808,0,0.7619047619047619,21,Episodic / mixed
68190,Cimitarra,Santander,0.42857142857142855,0,0.5714285714285714,21,Episodic / mixed
68207,Concepción,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68209,Confines,Santander,0.23809523809523808,0,0.7619047619047619,21,Episodic / mixed
68211,Contratación,Santander,0.7142857142857143,0,0.2857142857142857,21,Episodic / mixed
68217,Coromoro,Santander,0.7619047619047619,0,0.23809523809523808,21,Episodic / mixed
68229,Curití,Santander,0.5714285714285714,0,0.42857142857142855,21,Episodic / mixed
68235,El Carmen De Chucurí,Santander,0,0,1,4,Structurally convergent
68235,El Carmen de Chucurí,Santander,0.17647058823529413,0,0.8235294117647058,17,Structurally convergent
68245,El Guacamayo,Santander,0.23809523809523808,0.047619047619047616,0.7142857142857143,21,Episodic / mixed
68250,El Peñón,Santander,0.19047619047619047,0,0.8095238095238095,21,Structurally convergent
68255,El Playón,Santander,0.38095238095238093,0,0.6190476190476191,21,Episodic / mixed
68264,Encino,Santander,0.7142857142857143,0,0.2857142857142857,21,Episodic / mixed
68266,Enciso,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68271,Florián,Santander,0.38095238095238093,0,0.6190476190476191,21,Episodic / mixed
68276,Floridablanca,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68296,Galán,Santander,0,0,1,21,Structurally convergent
68298,Gambita,Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
68298,Gámbita,Santander,0,0,1,4,Structurally convergent
68307,Girón,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68318,Guaca,Santander,0.47619047619047616,0,0.5238095238095238,21,Episodic / mixed
68320,Guadalupe,Santander,0.23809523809523808,0.047619047619047616,0.7142857142857143,21,Episodic / mixed
68322,Guapotá,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68324,Guavatá,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68327,Güepsa,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68344,Hato,Santander,0.23809523809523808,0,0.7619047619047619,21,Episodic / mixed
68368,Jesús María,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68370,Jordán,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68377,La Belleza,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68385,Landázuri,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68397,La Paz,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68406,Lebrija,Santander,0,0,1,4,Structurally convergent
68406,Lebríja,Santander,0.17647058823529413,0,0.8235294117647058,17,Structurally convergent
68418,Los Santos,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68425,Macaravita,Santander,0.42857142857142855,0,0.5714285714285714,21,Episodic / mixed
68432,Málaga,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68444,Matanza,Santander,0.3333333333333333,0,0.6666666666666666,21,Episodic / mixed
68464,Mogotes,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68468,Molagavita,Santander,0.5714285714285714,0,0.42857142857142855,21,Episodic / mixed
68498,Ocamonte,Santander,0,0,1,21,Structurally convergent
68500,Oiba,Santander,0.38095238095238093,0,0.6190476190476191,21,Episodic / mixed
68502,Onzaga,Santander,0.6666666666666666,0,0.3333333333333333,21,Episodic / mixed
68522,Palmar,Santander,0,0,1,21,Structurally convergent
68524,Palmas Del Socorro,Santander,0,0,1,4,Structurally convergent
68524,Palmas del Socorro,Santander,0,0,1,17,Structurally convergent
68533,Páramo,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68547,Piedecuesta,Santander,0.42857142857142855,0,0.5714285714285714,21,Episodic / mixed
68549,Pinchote,Santander,0,0,1,21,Structurally convergent
68572,Puente Nacional,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68573,Puerto Parra,Santander,0.09523809523809523,0,0.9047619047619048,21,Structurally convergent
68575,Puerto Wilches,Santander,0.5714285714285714,0,0.42857142857142855,21,Episodic / mixed
68615,Rionegro,Santander,0.23809523809523808,0,0.7619047619047619,21,Episodic / mixed
68655,Sabana De Torres,Santander,0,0,1,4,Structurally convergent
68655,Sabana de Torres,Santander,0.47058823529411764,0,0.5294117647058824,17,Episodic / mixed
68669,San Andrés,Santander,0.23809523809523808,0,0.7619047619047619,21,Episodic / mixed
68673,San Benito,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68679,San Gil,Santander,0,0,1,21,Structurally convergent
68682,San Joaquín,Santander,0.6666666666666666,0,0.3333333333333333,21,Episodic / mixed
68684,San José De Miranda,Santander,0.25,0,0.75,4,Episodic / mixed
68684,San José de Miranda,Santander,0.4117647058823529,0,0.5882352941176471,17,Episodic / mixed
68686,San Miguel,Santander,0.6190476190476191,0,0.38095238095238093,21,Episodic / mixed
68689,San Vicente De Chucurí,Santander,0,0,1,4,Structurally convergent
68689,San Vicente de Chucurí,Santander,0.6470588235294118,0,0.35294117647058826,17,Episodic / mixed
68705,Santa Bárbara,Santander,0.8095238095238095,0,0.19047619047619047,21,Structurally elections-dominant
68720,Santa Helena Del Opón,Santander,0.25,0,0.75,4,Episodic / mixed
68720,Santa Helena del Opón,Santander,0.5294117647058824,0,0.47058823529411764,17,Episodic / mixed
68745,Simacota,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68755,Socorro,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68770,Suaita,Santander,0.047619047619047616,0,0.9523809523809523,21,Structurally convergent
68773,Sucre,Santander,0.2857142857142857,0,0.7142857142857143,21,Episodic / mixed
68780,Suratá,Santander,0.7619047619047619,0,0.23809523809523808,21,Episodic / mixed
68820,Tona,Santander,0.14285714285714285,0,0.8571428571428571,21,Structurally convergent
68855,Valle De San José,Santander,0,0,1,4,Structurally convergent
68855,Valle de San José,Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
68861,Vélez,Santander,0.3333333333333333,0,0.6666666666666666,21,Episodic / mixed
68867,Vetas,Santander,0.47619047619047616,0,0.5238095238095238,21,Episodic / mixed
68872,Villanueva,Santander,0.5714285714285714,0,0.42857142857142855,21,Episodic / mixed
